CBS/NYT/YouGov,2014,10/16 - 10/23,2014 Iowa Senate: Ernst vs. Braley
CBS/NYT/YouGov,2014,10/16 - 10/23,2014 Iowa Governor: Branstad vs. Hatch
CBS/NYT/YouGov,2014,10/16 - 10/23,2014 Colorado Senate: Gardner vs. Udall
CBS/NYT/YouGov,2014,10/16 - 10/23,2014 Colorado Governor: Beauprez vs. Hickenlooper
CBS/NYT/YouGov,2014,10/16 - 10/23,2014 Arkansas Senate: Cotton vs. Pryor
CBS/NYT/YouGov,2014,10/16 - 10/23,2014 Arkansas Governor: Hutchinson vs. Ross
Abt SRBI Inc/Atlanta Journal-Constitution,2014,10/16 - 10/23,2014 Georgia Senate: Perdue vs. Nunn
Abt SRBI Inc/Atlanta Journal-Constitution,2014,10/16 - 10/23,2014 Georgia Governor: Deal vs. Carter
StPetePolls.org,2014,10/17 - 10/17,2014 Florida Governor: Scott vs. Crist
PPP (D-Wisconsin Democratic Party),2014,10/17 - 10/18,2014 Wisconsin Governor: Walker vs. Burke
EPIC-MRA,2014,10/17 - 10/19,2014 Michigan Senate: Land vs. Peters
EPIC-MRA,2014,10/17 - 10/19,2014 Michigan Governor: Snyder vs. Schauer
Emerson College Polling Society,2014,10/17 - 10/19,2014 Massachusetts CD-09
SurveyUSA/KGTV-TV/U-T San Diego,2014,10/17 - 10/20,2014 California House: 52nd District
SurveyUSA/11Alive,2014,10/17 - 10/20,2014 Georgia Senate: Perdue vs. Nunn
SurveyUSA/11Alive,2014,10/17 - 10/20,2014 Georgia Governor: Deal vs. Carter
Monmouth University,2014,10/17 - 10/20,2014 Colorado Senate: Gardner vs. Udall
Monmouth University,2014,10/17 - 10/20,2014 Colorado Governor: Beauprez vs. Hickenlooper
ABC/Post,2014,10/17 - 10/20,2014 National House Race
NBC/WSJ/Annenberg,2014,10/17 - 10/23,2014 National House Race
Tarrance (R-Jenkins),2014,10/18 - 10/20,2014 Kansas House: 2nd District
POS (R-Rounds/NRSC),2014,10/18 - 10/20,2014 South Dakota Senate: Rounds vs. Weiland
CNN,2014,10/18 - 10/20,2014 National House Race
St Norbert/WPR,2014,10/18 - 10/21,2014 Wisconsin Governor: Walker vs. Burke
CNN,2014,10/18 - 10/21,2014 New Hampshire Senate: Brown vs. Shaheen
CNN,2014,10/18 - 10/21,2014 New Hampshire Governor: Havenstein vs. Hassan
Suffolk/USA Today,2014,10/18 - 10/21,2014 Colorado Senate: Gardner vs. Udall
Suffolk/USA Today,2014,10/18 - 10/21,2014 Colorado Governor: Beauprez vs. Hickenlooper
Monmouth University,2014,10/18 - 10/21,2014 Iowa Senate: Ernst vs. Braley
Monmouth University,2014,10/18 - 10/21,2014 Iowa Governor: Branstad vs. Hatch
NBC/Marist,2014,10/18 - 10/22,2014 Kansas Senate
NBC/Marist,2014,10/18 - 10/22,2014 Kansas Governor: Brownback vs. Davis
NBC/Marist,2014,10/18 - 10/22,2014 Iowa Senate: Ernst vs. Braley
NBC/Marist,2014,10/18 - 10/22,2014 Iowa Governor: Branstad vs. Hatch
NBC/Marist,2014,10/18 - 10/22,2014 Colorado Senate: Gardner vs. Udall
NBC/Marist,2014,10/18 - 10/22,2014 Colorado Governor: Beauprez vs. Hickenlooper
Harstad (D-Senate Majority PAC/Put Alaska First),2014,10/18 - 10/22,2014 Alaska Senate: Sullivan vs. Begich
Stockton,2014,10/18 - 10/22,2014 New Jersey Senate: Bell vs. Booker
U of Texas/Texas Tribune,2014,10/18 - 10/27,2014 Texas Governor: Abbott vs. Davis
U of Texas/Texas Tribune,2014,10/18 - 10/27,2014 Texas Gubernatorial GE
U of Texas/Texas Tribune,2014,10/18 - 10/27,2014 Texas Gubernatorial Republican Primary
U of Texas/Texas Tribune,2014,10/18 - 10/27,2014 Texas Senate Republican Primary
Mitchell Research/Fox 2 Detroit,2014,10/19 - 10/19,2014 Michigan Senate: Land vs. Peters
Mitchell Research/Fox 2 Detroit,2014,10/19 - 10/19,2014 Michigan Governor: Snyder vs. Schauer
Clarity (D-Two Peninsulas Research Group),2014,10/19 - 10/20,2014 Michigan Senate: Land vs. Peters
Clarity (D-Two Peninsulas Research Group),2014,10/19 - 10/20,2014 Michigan Governor: Snyder vs. Schauer
Wilson Perkins Allen Opinion Research (R-Hogan),2014,10/19 - 10/20,2014 Maryland Governor: Hogan vs. Brown
American Viewpoint (R- American Future Fund Political Action),2014,10/19 - 10/21,2014 California CD-31
CNN,2014,10/19 - 10/22,2014 Georgia Senate: Perdue vs. Nunn
CNN,2014,10/19 - 10/22,2014 Georgia Governor: Deal vs. Carter
CNN,2014,10/19 - 10/22,2014 Georgia Senate Runoff
Boston Globe/SocialSphere,2014,10/19 - 10/22,2014 Massachusetts Governor: Baker vs. Coakley
ARG,2014,10/19 - 10/22,2014 New Hampshire Senate: Brown vs. Shaheen
ARG,2014,10/19 - 10/22,2014 New Hampshire Governor: Havenstein vs. Hassan
Harstad (D-DSCC),2014,10/19 - 10/23,2014 Colorado Senate: Gardner vs. Udall
NBC/Marist,2014,10/19 - 10/23,2014 South Dakota Senate: Rounds vs. Weiland
NBC/Marist,2014,10/19 - 10/23,2014 South Dakota Governor: Daugaard vs. Wismer
NBC/Marist,2014,10/19 - 10/23,2014 North Carolina Senate: Tillis vs. Hagan
NBC/Marist,2014,10/19 - 10/23,2014 Arkansas Senate: Cotton vs. Pryor
NBC/Marist,2014,10/19 - 10/23,2014 Arkansas Governor: Hutchinson vs. Ross
Landmark (R),2014,10/20 - 10/21,2014 Georgia Senate: Perdue vs. Nunn
Landmark (R),2014,10/20 - 10/21,2014 Georgia Governor: Deal vs. Carter
PPP (D-League of Conservation Voters),2014,10/20 - 10/21,2014 Michigan Senate: Land vs. Peters
PPP (D-League of Conservation Voters),2014,10/20 - 10/21,2014 Michigan Governor: Snyder vs. Schauer
Rasmussen,2014,10/20 - 10/21,2014 Kansas Governor: Brownback vs. Davis
Global Strategy Group (D-DCCC),2014,10/20 - 10/21,2014 Hawaii House: 1st District
Rasmussen,2014,10/20 - 10/21,2014 Kansas Senate
Rasmussen,2014,10/20 - 10/21,2014 Wisconsin Governor: Walker vs. Burke
PPP (D-League of Conservation Voters),2014,10/20 - 10/21,2014 New Hampshire Senate: Brown vs. Shaheen
PPP (D-League of Conservation Voters),2014,10/20 - 10/21,2014 New Hampshire Governor: Havenstein vs. Hassan
Gravis Marketing,2014,10/20 - 10/21,2014 Kansas Senate
Gravis Marketing,2014,10/20 - 10/21,2014 Kansas Governor: Brownback vs. Davis
Global Strategy Group (D-Maffei),2014,10/20 - 10/22,2014 New York House: 24th District
WWNY-7 News/Siena,2014,10/20 - 10/22,2014 New York House: 21st District
Vox Populi (R),2014,10/20 - 10/22,2014 New Mexico Senate: Weh vs. Udall
GQR (D-Massachusetts IE PAC),2014,10/20 - 10/22,2014 Massachusetts Governor: Baker vs. Coakley
The Polling Company Inc./WomanTrend (R-American Encore),2014,10/20 - 10/22,2014 Arizona Governor: Ducey vs. DuVal
Mason-Dixon/Star Tribune,2014,10/20 - 10/22,2014 Minnesota Governor: Johnson vs. Dayton
Rasmussen,2014,10/20 - 10/22,2014 Michigan Governor: Snyder vs. Schauer
Mason-Dixon/Star Tribune,2014,10/20 - 10/22,2014 Minnesota Senate: McFadden vs. Franken
Rasmussen,2014,10/20 - 10/22,2014 Illinois Governor: Rauner vs. Quinn
FOX,2014,10/20 - 10/22,2014 National House Race
Mason-Dixon/Argus Leader/KELO-TV,2014,10/20 - 10/23,2014 South Dakota Governor: Daugaard vs. Wismer
Mason-Dixon/Argus Leader/KELO-TV,2014,10/20 - 10/23,2014 South Dakota Senate: Rounds vs. Weiland
Gonzales Research (R-Maryland Republican Party),2014,10/20 - 10/24,2014 Maryland Governor: Hogan vs. Brown
Strategies 360,2014,10/20 - 10/25,2014 Colorado Senate: Gardner vs. Udall
Strategies 360,2014,10/20 - 10/25,2014 Colorado Governor: Beauprez vs. Hickenlooper
Roanoke College,2014,10/20 - 10/25,2014 Virginia Senate: Gillespie vs. Warner
Franklin and Marshall College,2014,10/20 - 10/26,2014 Pennsylvania Governor: Corbett vs. Wolf
Rasmussen,2014,10/20 - 10/26,2014 National House Race
UMass Amherst/WBZ-TV/YouGov,2014,10/20 - 10/27,2014 Massachusetts Governor: Baker vs. Coakley
UMass Amherst/WBZ-TV/YouGov,2014,10/20 - 10/27,2014 Massachusetts Senate: Herr vs. Markey
Dan Jones & Associates,2014,10/20 - 10/29,2014 Utah House: 4th District
Diamond (R-Arkansas Republican Party),2014,10/21 - 10/21,2014 Arkansas House: 4th District
Rasmussen,2014,10/21 - 10/22,2014 Michigan Senate: Land vs. Peters
InsiderAdvantage/Fox 5 Atlanta/Morris News Service,2014,10/21 - 10/22,2014 Georgia Senate: Perdue vs. Nunn
InsiderAdvantage/Fox 5 Atlanta/Morris News Service,2014,10/21 - 10/22,2014 Georgia Governor: Deal vs. Carter
PPP (D-House Majority PAC),2014,10/21 - 10/22,2014 Minnesota CD-02
Rasmussen,2014,10/21 - 10/23,2014 Colorado Governor: Beauprez vs. Hickenlooper
Albuquerque Journal/Research & Polling,2014,10/21 - 10/23,2014 New Mexico Governor: Martinez vs. King
Albuquerque Journal/Research & Polling,2014,10/21 - 10/23,2014 New Mexico Senate: Weh vs. Udall
Rasmussen,2014,10/21 - 10/23,2014 Colorado Senate: Gardner vs. Udall
Keating (D-Udall),2014,10/21 - 10/23,2014 Colorado Senate: Gardner vs. Udall
RRH/PMI (R),2014,10/21 - 10/23,2014 Arizona CD-02
Loras College,2014,10/21 - 10/24,2014 Iowa House: 4th District
Loras College,2014,10/21 - 10/24,2014 Iowa House: 3rd District
Loras College,2014,10/21 - 10/24,2014 Iowa House: 1st District
Loras College,2014,10/21 - 10/24,2014 Iowa Senate: Ernst vs. Braley
Loras College,2014,10/21 - 10/24,2014 Iowa Governor: Branstad vs. Hatch
Loras College,2014,10/21 - 10/24,2014 Iowa CD-02
Marquette Law School,2014,10/21 - 10/24,2014 Wisconsin Governor: Walker vs. Burke
Marquette Law School,2014,10/21 - 10/24,2014 Wisconsin Gubernatorial GE
Marquette Law School,2014,10/21 - 10/24,2014 Wisconsin Gubernatorial GE
Elon,2014,10/21 - 10/25,2014 North Carolina Senate: Tillis vs. Hagan
UMass Lowell/7 News,2014,10/21 - 10/25,2014 Massachusetts Governor: Baker vs. Coakley
SurveyUSA/High Point University,2014,10/21 - 10/25,2014 North Carolina Senate: Tillis vs. Hagan
DFM Research (D-SMART),2014,10/21 - 10/25,2014 Nebraska CD-02
SurveyUSA/KOTA/KSFY/Aberdeen American News,2014,10/21 - 10/26,2014 South Dakota Senate: Rounds vs. Weiland
SurveyUSA/KOTA/KSFY/Aberdeen American News,2014,10/21 - 10/26,2014 South Dakota Governor: Daugaard vs. Wismer
SurveyUSA/KOTA/KSFY/Aberdeen American News,2014,10/21 - 10/26,2014 South Dakota House: At-Large District
DFM Research (D-SMART),2014,10/21 - 10/27,2014 Kentucky Senate: McConnell vs. Grimes
U of Arkansas,2014,10/21 - 10/27,2014 Arkansas Senate: Cotton vs. Pryor
U of Arkansas,2014,10/21 - 10/27,2014 Arkansas Governor: Hutchinson vs. Ross
Rasmussen,2014,10/21 - 10/27,2014 National House Race
WNEU,2014,10/21 - 10/30,2014 Massachusetts Governor: Baker vs. Coakley
WNEU,2014,10/21 - 10/30,2014 Massachusetts Senate: Herr vs. Markey
Rasmussen,2014,10/22 - 10/23,2014 Louisiana Senate: Cassidy vs. Landrieu
Rasmussen,2014,10/22 - 10/23,2014 Louisiana Senate Primary
PPP (D-Maine Conservation Voters Action Fund),2014,10/22 - 10/23,2014 Maine Governor: LePage vs. Michaud vs. Cutler
Glengariff/Detroit News/WDIV,2014,10/22 - 10/24,2014 Michigan Senate: Land vs. Peters
Time Warner Cable News/Siena,2014,10/22 - 10/24,2014 New York House: 19th District
Syracuse.com/Post-Standard/Siena,2014,10/22 - 10/24,2014 New York House: 24th District
Gravis Marketing,2014,10/22 - 10/24,2014 Florida Governor: Scott vs. Crist
Glengariff/Detroit News/WDIV,2014,10/22 - 10/24,2014 Michigan Governor: Snyder vs. Schauer
MassINC/WBUR,2014,10/22 - 10/25,2014 Massachusetts Governor: Baker vs. Coakley
MassINC/WBUR,2014,10/22 - 10/25,2014 Massachusetts Senate: Herr vs. Markey
UNH/WMUR,2014,10/22 - 10/26,2014 New Hampshire Senate: Brown vs. Shaheen
UNH/WMUR,2014,10/22 - 10/26,2014 New Hampshire Governor: Havenstein vs. Hassan
Rasmussen,2014,10/22 - 10/26,2014 South Dakota Senate: Rounds vs. Weiland
SurveyUSA/KSN-TV,2014,10/22 - 10/26,2014 Kansas Senate
SurveyUSA/KSN-TV,2014,10/22 - 10/26,2014 Kansas Governor: Brownback vs. Davis
UNH/WMUR,2014,10/22 - 10/26,2014 New Hampshire House: 2nd District
UNH/WMUR,2014,10/22 - 10/26,2014 New Hampshire House: 1st District
Quinnipiac,2014,10/22 - 10/27,2014 Colorado Senate: Gardner vs. Udall
Quinnipiac,2014,10/22 - 10/27,2014 Florida Governor: Scott vs. Crist
Quinnipiac,2014,10/22 - 10/27,2014 Colorado Governor: Beauprez vs. Hickenlooper
Quinnipiac,2014,10/22 - 10/27,2014 Iowa Senate: Ernst vs. Braley
Quinnipiac,2014,10/22 - 10/27,2014 Iowa Governor: Branstad vs. Hatch
Quinnipiac,2014,10/22 - 10/27,2014 Connecticut Governor: Foley vs. Malloy
Columbus Dispatch,2014,10/22 - 10/31,2014 Ohio Governor: Kasich vs. FitzGerald
PPP (D-League of Conservation Voters),2014,10/23 - 10/24,2014 Georgia Senate: Perdue vs. Nunn
PPP (D-League of Conservation Voters),2014,10/23 - 10/24,2014 Georgia Governor: Deal vs. Carter
Magellan (R-RGA),2014,10/23 - 10/24,2014 Maine Governor: LePage vs. Michaud vs. Cutler
SurveyUSA/KWCH-TV,2014,10/23 - 10/24,2014 Kansas Governor: Brownback vs. Davis
Gravis/Human Events (R),2014,10/23 - 10/25,2014 Montana Senate: Daines vs. Curtis
Gravis/Human Events (R),2014,10/23 - 10/25,2014 Montana House: At-Large District: Zinke vs. Lewis
POS (R-Hayworth),2014,10/23 - 10/25,2014 New York House: 18th District
USA Today/PSRAI,2014,10/23 - 10/26,2014 National House Race
Marquette Law School,2014,10/23 - 10/26,2014 Wisconsin Governor: Walker vs. Burke
ABC/Post,2014,10/23 - 10/26,2014 National House Race
Suffolk/USA Today,2014,10/23 - 10/26,2014 Louisiana Senate: Cassidy vs. Landrieu
Suffolk/USA Today,2014,10/23 - 10/26,2014 Louisiana Senate Primary
Monmouth University,2014,10/23 - 10/26,2014 North Carolina Senate: Tillis vs. Hagan
SurveyUSA,2014,10/23 - 10/27,2014 Oregon Senate: Wehby vs. Merkley
SurveyUSA,2014,10/23 - 10/27,2014 Oregon Governor: Richardson vs. Kitzhaber
CBS,2014,10/23 - 10/27,2014 National House Race
Christopher Newport,2014,10/23 - 10/29,2014 Virginia Senate: Gillespie vs. Warner
Ipsos/Reuters,2014,10/23 - 10/29,2014 Iowa Senate: Ernst vs. Braley
Ipsos/Reuters,2014,10/23 - 10/29,2014 Iowa Governor: Branstad vs. Hatch
Ipsos/Bangor Daily News,2014,10/23 - 10/29,2014 Maine Governor: LePage vs. Michaud vs. Cutler
Ipsos/Bangor Daily News,2014,10/23 - 10/29,2014 Maine Senate: Collins vs. Bellows
New England College,2014,10/24 - 10/24,2014 New Hampshire House: 2nd District
New England College,2014,10/24 - 10/24,2014 New Hampshire House: 1st District
New England College,2014,10/24 - 10/24,2014 New Hampshire Senate: Brown vs. Shaheen
New England College,2014,10/24 - 10/24,2014 New Hampshire Governor: Havenstein vs. Hassan
Impact (R),2014,10/24 - 10/24,2014 Arkansas Senate: Cotton vs. Pryor
Impact (R),2014,10/24 - 10/24,2014 Arkansas Governor: Hutchinson vs. Ross
Ivan Moore,2014,10/24 - 10/26,2014 Alaska Senate: Sullivan vs. Begich
Ivan Moore,2014,10/24 - 10/26,2014 Alaska CD-AL
CNN,2014,10/24 - 10/26,2014 National House Race
Hamilton (D-Clements),2014,10/24 - 10/26,2014 Michigan CD-06
Time Warner Cable News/Siena,2014,10/24 - 10/27,2014 New York House: 18th District
Monmouth University,2014,10/24 - 10/27,2014 South Dakota Senate: Rounds vs. Weiland
Monmouth University,2014,10/24 - 10/27,2014 South Dakota Governor: Daugaard vs. Wismer
Monmouth University,2014,10/24 - 10/27,2014 South Dakota House: At-Large District
SurveyUSA/11Alive,2014,10/24 - 10/27,2014 Georgia Senate: Perdue vs. Nunn
SurveyUSA/11Alive,2014,10/24 - 10/27,2014 Georgia Governor: Deal vs. Carter
University of Florida/Tampa Bay Times/Bay News 9,2014,10/24 - 10/28,2014 Florida Governor: Scott vs. Crist
Lake Research (D-MoveOn),2014,10/24 - 10/29,2014 Kentucky Senate: McConnell vs. Grimes
Lake Research (D-MoveOn),2014,10/24 - 10/29,2014 Kentucky Senate: Bevin vs. Grimes
Lake Research (D-MoveOn),2014,10/24 - 10/29,2014 Kentucky Senate Republican Primary
Brown University,2014,10/25 - 10/26,2014 Rhode Island Governor: Fung vs. Raimondo
Opinion Research Associates (D-Arkansas Democratic Party),2014,10/25 - 10/26,2014 Arkansas Senate: Cotton vs. Pryor
Opinion Research Associates (D-Arkansas Democratic Party),2014,10/25 - 10/26,2014 Arkansas Governor: Hutchinson vs. Ross
Garin-Hart-Yang (D),2014,10/25 - 10/27,2014 Iowa Senate: Ernst vs. Braley
Rasmussen,2014,10/25 - 10/27,2014 Georgia Governor: Deal vs. Carter
POS (R-Crossroads GPS),2014,10/25 - 10/27,2014 Kentucky Senate: McConnell vs. Grimes
Rasmussen,2014,10/25 - 10/27,2014 Georgia Senate: Perdue vs. Nunn
Rasmussen,2014,10/25 - 10/27,2014 Georgia Senate Runoff
FOX,2014,10/25 - 10/27,2014 National House Race
Stockton,2014,10/25 - 10/27,2014 New Jersey CD-02
Stockton,2014,10/25 - 10/28,2014 New Jersey House: 3rd District
NBC/WSJ,2014,10/25 - 10/28,2014 National House Race
SoonerPoll.com/News on 6/News 9,2014,10/25 - 10/29,2014 Oklahoma Governor: Fallin vs. Dorman
SoonerPoll.com/News on 6/News 9,2014,10/25 - 10/29,2014 Oklahoma Senate: Inhofe vs. Silverstein
SoonerPoll.com/News on 6/News 9,2014,10/25 - 10/29,2014 Oklahoma Senate: Lankford vs. Johnson
SurveyUSA/Courier-Journal/Herald-Leader/WHAS/WKYT,2014,10/25 - 10/29,2014 Kentucky Senate: McConnell vs. Grimes
YouGov,2014,10/25 - 10/31,2014 Wisconsin Governor: Walker vs. Burke
YouGov,2014,10/25 - 10/31,2014 Florida Governor: Scott vs. Crist
YouGov,2014,10/25 - 10/31,2014 North Carolina Senate: Tillis vs. Hagan
YouGov,2014,10/25 - 10/31,2014 Kansas Senate
YouGov,2014,10/25 - 10/31,2014 Kansas Governor: Brownback vs. Davis
YouGov,2014,10/25 - 10/31,2014 Iowa Senate: Ernst vs. Braley
YouGov,2014,10/25 - 10/31,2014 Iowa Governor: Branstad vs. Hatch
YouGov,2014,10/25 - 10/31,2014 Georgia Senate: Perdue vs. Nunn
YouGov,2014,10/25 - 10/31,2014 Georgia Governor: Deal vs. Carter
YouGov,2014,10/25 - 10/31,2014 Colorado Senate: Gardner vs. Udall
YouGov,2014,10/25 - 10/31,2014 Colorado Governor: Beauprez vs. Hickenlooper
POS (R-Tillis/NRSC),2014,10/26 - 10/27,2014 North Carolina Senate: Tillis vs. Hagan
Harper (R),2014,10/26 - 10/27,2014 Pennsylvania Governor: Corbett vs. Wolf
Wilson Perkins Allen Opinion Research (R-Hogan),2014,10/26 - 10/27,2014 Maryland Governor: Hogan vs. Brown
Vox Populi (R),2014,10/26 - 10/27,2014 Colorado Senate: Gardner vs. Udall
Vox Populi (R),2014,10/26 - 10/27,2014 Colorado Governor: Beauprez vs. Hickenlooper
Vox Populi (R),2014,10/26 - 10/27,2014 North Carolina Senate: Tillis vs. Hagan
Elway/Oregonian/KGW,2014,10/26 - 10/27,2014 Oregon Governor: Richardson vs. Kitzhaber
Elway/Oregonian/KGW,2014,10/26 - 10/27,2014 Oregon Senate: Wehby vs. Merkley
WSJ/NBC New York/Marist,2014,10/26 - 10/28,2014 New York Governor: Astorino vs. Cuomo
EPIC-MRA,2014,10/26 - 10/28,2014 Michigan Senate: Land vs. Peters
EPIC-MRA,2014,10/26 - 10/28,2014 Michigan Governor: Snyder vs. Schauer
Moore (R-Sullivan For U.S. Senate),2014,10/26 - 10/28,2014 Alaska Senate: Sullivan vs. Begich
Monmouth University,2014,10/26 - 10/28,2014 Georgia Senate: Perdue vs. Nunn
Monmouth University,2014,10/26 - 10/28,2014 Georgia Governor: Deal vs. Carter
YouGov/Economist,2014,10/26 - 10/28,2014 National House Race
Newsday/News 12 Long Island/Siena,2014,10/26 - 10/29,2014 New York House: 1st District
Boston Globe/SocialSphere,2014,10/26 - 10/29,2014 Massachusetts Governor: Baker vs. Coakley
Emerson College Polling Society,2014,10/26 - 10/29,2014 Massachusetts House: 6th District
Emerson College Polling Society,2014,10/26 - 10/29,2014 Massachusetts Governor: Baker vs. Coakley
Emerson College Polling Society,2014,10/26 - 10/29,2014 Massachusetts CD-09
Mitchell Research/Fox 2 Detroit,2014,10/27 - 10/27,2014 Michigan Senate: Land vs. Peters
Mitchell Research/Fox 2 Detroit,2014,10/27 - 10/27,2014 Michigan Governor: Snyder vs. Schauer
Harper (R-Stefanik),2014,10/27 - 10/28,2014 New York House: 21st District
Vox Populi (R),2014,10/27 - 10/28,2014 New Hampshire Senate: Brown vs. Shaheen
We Ask America/The Illinois Observer,2014,10/27 - 10/28,2014 Illinois Governor: Rauner vs. Quinn
Magellan (R-KeystoneReport.com),2014,10/27 - 10/28,2014 Pennsylvania Governor: Corbett vs. Wolf
POS (R-Osborn),2014,10/27 - 10/28,2014 Nebraska Senate Republican Primary
Harper (R-Conservative Intelligence Briefing),2014,10/27 - 10/28,2014 South Carolina Senate GE
Harper (R-Conservative Intelligence Briefing),2014,10/27 - 10/28,2014 South Carolina Senate GE
Harper (R-Conservative Intelligence Briefing),2014,10/27 - 10/28,2014 South Carolina Senate Republican Primary
Harper (R-Conservative Intelligence Briefing),2014,10/27 - 10/28,2014 South Carolina Governor: Haley vs. Sheheen
Cherry (R-Florida Chamber of Commerce),2014,10/27 - 10/29,2014 Florida Governor: Scott vs. Crist
Muhlenberg/Morning Call,2014,10/27 - 10/29,2014 Pennsylvania Governor: Corbett vs. Wolf
Monmouth University,2014,10/27 - 10/29,2014 New Jersey House: 5th District
SurveyUSA/Denver Post,2014,10/27 - 10/29,2014 Colorado Senate: Gardner vs. Udall
SurveyUSA/Denver Post,2014,10/27 - 10/29,2014 Colorado Governor: Beauprez vs. Hickenlooper
Rasmussen,2014,10/27 - 10/29,2014 Arkansas Senate: Cotton vs. Pryor
ARG,2014,10/27 - 10/29,2014 New Hampshire Governor: Havenstein vs. Hassan
Suffolk/Boston Herald,2014,10/27 - 10/29,2014 Massachusetts Governor: Baker vs. Coakley
Suffolk/Boston Herald,2014,10/27 - 10/29,2014 Massachusetts Senate: Herr vs. Markey
ARG,2014,10/27 - 10/29,2014 New Hampshire Senate: Brown vs. Shaheen
PPP (D),2014,10/27 - 10/29,2014 Minnesota Senate GE
PPP (D),2014,10/27 - 10/29,2014 Minnesota Senate GE
PPP (D),2014,10/27 - 10/29,2014 Minnesota Senate: McFadden vs. Franken
PPP (D),2014,10/27 - 10/29,2014 Minnesota Senate GE
PPP (D),2014,10/27 - 10/29,2014 Minnesota Senate GE
PPP (D),2014,10/27 - 10/29,2014 Minnesota Gubernatorial GE
PPP (D),2014,10/27 - 10/29,2014 Minnesota Governor: Johnson vs. Dayton
PPP (D),2014,10/27 - 10/29,2014 Minnesota Gubernatorial GE
PPP (D),2014,10/27 - 10/29,2014 Minnesota Governor: Seifert vs. Dayton
PPP (D),2014,10/27 - 10/29,2014 Minnesota Gubernatorial GE
PPP (D),2014,10/27 - 10/29,2014 Minnesota Governor: Zellers vs. Dayton
PPP (D),2014,10/27 - 10/29,2014 Minnesota Senate Republican Primary
PPP (D),2014,10/27 - 10/29,2014 Minnesota Gubernatorial Republican Primary
SurveyUSA/KSTP-TV,2014,10/27 - 10/30,2014 Minnesota Senate: McFadden vs. Franken
SurveyUSA/KSTP-TV,2014,10/27 - 10/30,2014 Minnesota Governor: Johnson vs. Dayton
SurveyUSA/KGTV-TV/U-T San Diego,2014,10/27 - 10/30,2014 California House: 52nd District
NBC/Marist,2014,10/27 - 10/30,2014 Louisiana Senate Primary
NBC/Marist,2014,10/27 - 10/30,2014 Louisiana Senate: Cassidy vs. Landrieu
NBC/Marist,2014,10/27 - 10/30,2014 Kentucky Senate: McConnell vs. Grimes
NBC/Marist,2014,10/27 - 10/30,2014 Georgia Senate: Perdue vs. Nunn
NBC/Marist,2014,10/27 - 10/30,2014 Georgia Governor: Deal vs. Carter
NBC/Marist,2014,10/27 - 10/30,2014 Georgia Senate Runoff
Rasmussen,2014,10/27 - 10/30,2014 Alaska Governor: Parnell vs. Walker
Rasmussen,2014,10/27 - 10/30,2014 Alaska Senate: Sullivan vs. Begich
CNN,2014,10/27 - 10/30,2014 Iowa Senate: Ernst vs. Braley
CNN,2014,10/27 - 10/30,2014 North Carolina Senate: Tillis vs. Hagan
GWU/Battleground,2014,10/27 - 10/31,2014 National House Race
Rasmussen,2014,10/28 - 10/29,2014 North Carolina Senate: Tillis vs. Hagan
PPP (D-League of Conservation Voters),2014,10/28 - 10/29,2014 Colorado Senate: Gardner vs. Udall
PPP (D-League of Conservation Voters),2014,10/28 - 10/29,2014 Colorado Governor: Beauprez vs. Hickenlooper
PPP (D-League of Conservation Voters),2014,10/28 - 10/29,2014 North Carolina Senate: Tillis vs. Hagan
Rasmussen,2014,10/28 - 10/30,2014 Iowa Governor: Branstad vs. Hatch
Harper (R),2014,10/28 - 10/30,2014 North Carolina Senate: Tillis vs. Hagan
HuffPost/YouGov,2014,10/28 - 10/30,2014 National House Race
PPP (D-Wisconsin Democratic Party),2014,10/28 - 10/30,2014 Wisconsin Governor: Walker vs. Burke
FOX,2014,10/28 - 10/30,2014 North Carolina Senate: Tillis vs. Hagan
FOX,2014,10/28 - 10/30,2014 Iowa Senate: Ernst vs. Braley
FOX,2014,10/28 - 10/30,2014 Iowa Governor: Branstad vs. Hatch
FOX,2014,10/28 - 10/30,2014 Kansas Senate
FOX,2014,10/28 - 10/30,2014 Kansas Governor: Brownback vs. Davis
Zogby (Internet),2014,10/28 - 10/31,2014 California Governor: Kashkari vs. Brown
Zogby (Internet),2014,10/28 - 10/31,2014 New York Governor: Astorino vs. Cuomo
Zogby (Internet),2014,10/28 - 10/31,2014 Florida Governor: Scott vs. Crist
Des Moines Register/Selzer,2014,10/28 - 10/31,2014 Iowa Senate: Ernst vs. Braley
Des Moines Register/Selzer,2014,10/28 - 10/31,2014 Iowa Governor: Branstad vs. Hatch
Quinnipiac,2014,10/28 - 11/02,2014 Colorado Senate: Gardner vs. Udall
Quinnipiac,2014,10/28 - 11/02,2014 Colorado Governor: Beauprez vs. Hickenlooper
Quinnipiac,2014,10/28 - 11/02,2014 Iowa Senate: Ernst vs. Braley
Quinnipiac,2014,10/28 - 11/02,2014 Iowa Governor: Branstad vs. Hatch
Quinnipiac,2014,10/28 - 11/02,2014 Connecticut Governor: Foley vs. Malloy
Quinnipiac,2014,10/28 - 11/02,2014 Florida Governor: Scott vs. Crist
Rasmussen,2014,10/28 - 11/03,2014 National House Race
Mass Insight/Opinion Dynamics,2014,10/28 - 11/07,2014 Massachusetts Gubernatorial GE
Mass Insight/Opinion Dynamics,2014,10/28 - 11/07,2014 Massachusetts Governor: Baker vs. Coakley
